country_one	country_two	pvalue	stars
1	US	GB	1.7511842359597e-96	***
2	US	NL	5.59326300569105e-55	***
3	GB	CA	2.93321501653098e-50	***
4	US	IN	1.62026919010499e-43	***
5	FR	NL	8.65465186028668e-35	***
6	GB	FR	8.93373118890259e-35	***
7	FR	IN	1.12282948457958e-34	***
8	CA	FR	1.03006132111331e-33	***
9	CA	NL	8.38533039346263e-32	***
10	GB	BR	9.62024238925521e-27	***
11	CA	IN	2.079160768561e-25	***
12	GB	IT	2.55743643850506e-25	***
13	IT	NL	2.43823705972521e-21	***
14	US	FR	5.74553882739211e-21	***
15	BR	NL	9.85634980232741e-21	***
16	IT	IN	2.81189733917527e-18	***
17	US	CA	9.38779257944574e-18	***
18	FR	BR	9.90452864109108e-18	***
19	DE	NL	2.75364153139237e-17	***
20	BR	IN	3.75990575305825e-17	***
21	GB	JP	1.69330509956602e-16	***
22	FR	CO	3.8131369019913e-16	***
23	DE	IN	3.84162800120286e-16	***
24	JP	FR	1.69034922185048e-15	***
25	JP	NL	5.39313670647455e-15	***
26	FR	IT	2.40230877832678e-13	***
27	US	CO	4.33530129977922e-13	***
28	FR	AU	4.53387671707673e-13	***
29	JP	IN	6.47390122545194e-13	***
30	CA	CO	9.72694317035064e-13	***
31	GB	DE	1.48135052278172e-12	***
32	IT	CO	3.41208027503597e-10	***
33	US	AU	2.55915103709961e-09	***
34	IT	AU	4.90281358965171e-09	***
35	CA	JP	1.14309686420262e-08	***
36	CA	IT	6.61457222504041e-08	***
37	CA	AU	8.33974189650291e-08	***
38	BR	CO	1.5972855652285e-07	***
39	DE	CO	5.17642259700407e-07	***
40	JP	CO	1.09831035990597e-06	***
41	CA	DE	5.90813359918431e-06	***
42	BR	AU	6.80696207708031e-06	***
43	US	JP	6.83244752660273e-06	***
44	US	IT	5.366338209906e-05	***
45	IN	AU	5.55637734363174e-05	***
46	JP	BR	5.59119468469418e-05	***
47	NL	AU	0.000156024995722443	***
48	GB	IN	0.000183545673480233	***
49	JP	AU	0.000190461472097226	***
50	DE	AU	0.000603679784279369	***
51	DE	IT	0.000656822701929224	***
52	FR	DE	0.000891136117699027	***
53	IN	CO	0.00125690567678171	**
54	DE	BR	0.00138947172441109	**
55	IT	BR	0.00144288361066439	**
56	GB	NL	0.00164965072248314	**
57	JP	DE	0.00226060362587016	**
58	NL	CO	0.00429029565957409	**
59	US	BR	0.010785459481567	*
60	JP	IT	0.0172311354257116	*
61	NL	IN	0.0295178226400847	*
62	CA	BR	0.0368879316417507	*
63	GB	CO	0.119807029991679	
64	US	DE	0.206890725956692	
65	AU	CO	0.225074373463275	
66	GB	AU	0.541658187644631	
